task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	af/a8db91	2753237	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:PARAMS_CHECK	COMPLETED	0	2025-05-12 17:14:26.574	33.9s	7.1s	93.0%	689.9 MB	3.9 GB	86.8 MB	5.1 KB
3	ad/2ae15f	2753238	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:HPAM_SPLIT (NaiveMeanEffectsPredictor)	COMPLETED	0	2025-05-12 17:14:26.617	33.9s	7.2s	92.9%	688.9 MB	3.9 GB	86.7 MB	5.1 KB
2	a8/24ce53	2753239	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:HPAM_SPLIT (SingleDrugProteomicsElasticNet)	COMPLETED	0	2025-05-12 17:14:26.650	33.8s	7s	78.2%	689.8 MB	3.9 GB	86.7 MB	5.7 KB
4	32/8a491d	2753240	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:LOAD_RESPONSE (mPDAC_cd (cross: ))	COMPLETED	0	2025-05-12 17:15:00.617	4.8s	1.7s	105.8%	156 MB	389.9 MB	32.9 MB	510.9 KB
7	60/6f7e89	2753242	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:CV_SPLIT (LPO)	COMPLETED	0	2025-05-12 17:15:05.734	4.7s	2.1s	101.1%	172.1 MB	405.5 MB	32.6 MB	6.3 MB
5	78/07e7ca	2753241	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:MAKE_MODELS (Make model channel)	COMPLETED	0	2025-05-12 17:15:05.701	34.8s	6.7s	99.2%	693.5 MB	3.9 GB	87.1 MB	33.9 KB
6	e6/25b12b	2753243	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:MAKE_BASELINES (Make model channel)	COMPLETED	0	2025-05-12 17:15:05.764	34.7s	5.2s	99.8%	669.5 MB	3.9 GB	87.1 MB	5.2 KB
10	bb/0a49be	2753244	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	COMPLETED	0	2025-05-12 17:15:40.652	34.9s	7.8s	109.7%	745 MB	4.8 GB	140.5 MB	6 KB
12	12/755dec	2753245	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	COMPLETED	0	2025-05-12 17:15:40.816	34.7s	6.2s	129.3%	737.8 MB	4.8 GB	140.5 MB	6 KB
22	ba/501639	2753246	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	COMPLETED	0	2025-05-12 17:15:40.859	34.7s	6.3s	140.7%	730.2 MB	4.8 GB	140.5 MB	6 KB
25	3b/7751ba	2753247	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	COMPLETED	0	2025-05-12 17:15:40.899	34.7s	6.3s	142.9%	737.7 MB	4.8 GB	140.5 MB	6 KB
15	cc/a736ef	2753248	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	COMPLETED	0	2025-05-12 17:15:40.948	34.7s	6.1s	139.1%	744.8 MB	4.8 GB	140.5 MB	6 KB
17	e5/fe3d6c	2753249	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	COMPLETED	0	2025-05-12 17:15:41.050	34.6s	5.6s	146.1%	742.8 MB	4.8 GB	140.5 MB	6 KB
24	01/91b2b9	2753250	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	COMPLETED	0	2025-05-12 17:15:41.126	34.6s	5.9s	143.9%	742.7 MB	4.8 GB	140.5 MB	6 KB
9	64/8f4fbd	2753251	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	COMPLETED	0	2025-05-12 17:15:41.175	34.6s	5.8s	147.4%	743.1 MB	4.8 GB	140.5 MB	6 KB
26	24/87dd32	2753252	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	COMPLETED	0	2025-05-12 17:15:41.225	34.5s	5.5s	150.3%	744.8 MB	4.8 GB	140.5 MB	6 KB
8	56/1e5cd4	2753253	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	COMPLETED	0	2025-05-12 17:15:41.266	34.5s	5.6s	150.0%	744.3 MB	4.8 GB	140.5 MB	6 KB
28	63/3f336e	2753254	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	COMPLETED	0	2025-05-12 17:15:41.299	34.5s	6s	134.2%	743.5 MB	4.8 GB	140.5 MB	6 KB
20	0b/786b1b	2753255	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	COMPLETED	0	2025-05-12 17:15:41.343	34.5s	6.1s	137.9%	737.7 MB	4.8 GB	140.5 MB	6 KB
11	f6/20f01a	2753256	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	COMPLETED	0	2025-05-12 17:15:41.380	34.5s	6.2s	144.9%	738.1 MB	4.8 GB	140.5 MB	6 KB
29	2f/51f896	2753257	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	COMPLETED	0	2025-05-12 17:15:41.430	34.5s	5.6s	149.5%	744.4 MB	4.8 GB	140.5 MB	6 KB
19	10/5c4572	2753258	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	COMPLETED	0	2025-05-12 17:15:41.469	34.5s	5.6s	146.4%	743.9 MB	4.8 GB	140.5 MB	6 KB
35	2d/473d5e	2753259	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	COMPLETED	0	2025-05-12 17:15:41.512	34.5s	5.8s	135.4%	743.6 MB	4.8 GB	140.5 MB	6 KB
14	0f/54014c	2753260	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	COMPLETED	0	2025-05-12 17:15:41.547	34.5s	5.8s	147.1%	743.5 MB	4.8 GB	140.5 MB	6 KB
34	b7/1ea15c	2753261	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	COMPLETED	0	2025-05-12 17:15:41.589	34.4s	6s	126.5%	743.3 MB	4.8 GB	140.5 MB	6 KB
13	7b/622226	2753262	NFCORE_DRUGRESPONSEEVAL:DRUGRESPONSEEVAL:RUN_CV:TRAIN_AND_PREDICT_CV (SingleDrugProteomicsElasticNet.10029385_LPO_gpu:false)	COMPLETED	0	2025-05-12 17:15:41.632	34.4s	5.7s	148.1%	744.2 MB	4.8 GB	140.5 MB	6 KB
